"Freq [GHz]","dB(S(SMA_conn_CS_2_1_1,SMA_conn_CS_2_1_1)) []","dB(S(SMA_conn_CS_2_2_1,SMA_conn_CS_2_1_1)) []"
5.04,-11.6198304121423,-0.629237826097681
5.06,-11.3911160578792,-0.649624353875471
5.08,-11.1715079708117,-0.670258346284239
5.1,-10.9605907573941,-0.691110790638725
5.12,-10.7579805813704,-0.712152098632447
5.14,-10.5633219623564,-0.733352176674564
5.16,-10.3762849882377,-0.754680496044226
5.18,-10.1965628804086,-0.776106162580794
5.2,-10.0238698610327,-0.797597985648814
5.22,-9.85793927978276,-0.819124546137876
5.24,-9.69852196429307,-0.840654263279675
5.26,-9.54538476413737,-0.862155460088104
5.28,-9.39830926275676,-0.883596427251152
5.3,-9.25709063559521,-0.904945485327414
5.32,-9.12153663589645,-0.92617104512305
5.34,-8.9914666922951,-0.947241666148494
5.36,-8.86671110458768,-0.96812611307662
5.38,-8.74711032597219,-0.98879341014583
5.4,-8.6325143216574,-1.00921289347257
5.42,-8.5227819951153,-1.02935426125783
5.44,-8.41778067442091,-1.04918762189081
5.46,-8.31738565212739,-1.06868353997077
5.48,-8.22147977298613,-1.0878130802843
5.5,-8.12995306456511,-1.10654784979063
5.52,-8.04270240646183,-1.12486003768119
5.54,-7.95963123436509,-1.14272245359214
5.56,-7.88064927570565,-1.16010856406002
5.58,-7.80567231406027,-1.17699252732022
5.6,-7.7346219798453,-1.19334922655712
5.62,-7.66742556516343,-1.20915430172171
5.64,-7.60401586095588,-1.22438418003927
5.66,-7.54433101486829,-1.23901610533457
5.68,-7.48831440846716,-1.2530281663065
5.7,-7.43591455264747,-1.26639932388679
5.72,-7.38708500025635,-1.27910943782023
5.74,-7.3417842751241,-1.29113929260453
5.76,-7.29997581684612,-1.30247062292902
5.78,-7.2616279407993,-1.31308613875043
5.8,-7.2267138130064,-1.3229695501435
5.82,-7.19521143958392,-1.33210559206188
5.84,-7.16710367062493,-1.34048004914239
5.86,-7.14237821847926,-1.34807978068265
5.88,-7.121027690502,-1.35489274591785
5.9,-7.10304963644767,-1.36090802971784
5.92,-7.08844661079451,-1.36611586882097
5.94,-7.07722625039126,-1.37050767871408
5.96,-7.06940136793049,-1.37407608126213
5.98,-7.06499006186811,-1.37681493318301
6,-7.0640158435313,-1.37871935545458
6.02,-7.06650778228727,-1.3797857637316
6.04,-7.07250066978602,-1.38001189984046
6.06,-7.08203520444354,-1.37939686440704
6.08,-7.09515819749949,-1.37794115066185
6.1,-7.11192280216989,-1.37564667945154
6.12,-7.13238876762221,-1.37251683547156
6.14,-7.1566227197325,-1.36855650471718
6.16,-7.184698470846,-1.36377211313263
6.18,-7.21669736105935,-1.35817166641699
6.2,-7.25270863387979,-1.35176479092453
6.22,-7.29282984950278,-1.34456277557183
6.24,-7.33716733939215,-1.3365786146392
6.26,-7.38583670635692,-1.32782705132409
6.28,-7.43896337490849,-1.31832462187423
6.3,-7.49668319736628,-1.30808970009419
6.32,-7.55914312197573,-1.29714254198329
6.34,-7.62650193023312,-1.285505330224
6.36,-7.69893105170107,-1.27320221819875
6.38,-7.77661546588038,-1.26025937316905
6.4,-7.85975470221503,-1.24670501820428
6.42,-7.9485639510965,-1.23256947239876
6.44,-8.04327530085818,-1.21788518886452
6.46,-8.1441391182832,-1.20268678993437
6.48,-8.25142559317781,-1.1870110989555
6.5,-8.36542647119929,-1.17089716799837
6.52,-8.48645700350917,-1.15438630075031
6.54,-8.61485814712582,-1.13752206980815
6.56,-8.75099905629134,-1.12035032753023
6.58,-8.89527991302891,-1.1029192095576
6.6,-9.04813515469885,-1.08527913006639
6.62,-9.21003716822459,-1.06748276777162
6.64,-9.38150053533714,-1.04958504166723
6.66,-9.56308693144205,-1.03164307546057
6.68,-9.75541080354043,-1.01371614964335
6.7,-9.95914598133935,-0.995865640137343
6.72,-10.1750334119945,-0.978154942464411
6.74,-10.4038902551326,-0.960649380417703
